url,url_status,subdomain,domain,suffix,path,query,fragment,has_https,has_http,text_content,cleaned_text,url_length,path_length,query_length,fragment_length,num_dots,num_slashes,num_digits,num_special_chars,num_underscores,num_hyphens,num_equals,num_ampersands,domain_length,subdomain_count,path_depth,query_param_count,has_https,has_www,is_ip_address,has_suspicious_extension,has_suspicious_keyword,is_legitimate_domain,entropy_score,hash_entropy,avg_word_length,unique_char_ratio,has_suspicious_extension,has_suspicious_keyword,is_legitimate_domain,has_obfuscation,has_redirect,text_features,is_malicious
http://115.48.151.60:43542/bin.sh,online,115.48,151,60:43542,bin.sh,,,False,True,115.48 151 60:43542 bin.sh,115 151 43542 bin,33,6,0,0,4,3,15,2,0,0,0,0,19,2,1,0,0,0,0,0,0,0,3.945464952495108,3.6525182662886326,5.75,0.5454545454545454,False,False,False,True,False,115 151 43542 bin,0
http://117.209.22.89:37690/i,online,117.209,22,89:37690,i,,,False,True,117.209 22 89:37690 i,117 209 37690,28,1,0,0,3,3,15,2,0,0,0,0,19,2,1,0,0,0,0,0,0,0,3.770942421748537,3.628928031846024,4.5,0.5357142857142857,False,False,False,True,False,117 209 37690,0
http://27.207.139.131:48602/i,online,27.207,139,131:48602,i,,,False,True,27.207 139 131:48602 i,207 139 131 48602,29,1,0,0,3,3,16,2,0,0,0,0,20,2,1,0,0,0,0,0,0,0,3.8573068568981284,3.5931390622295662,4.75,0.5517241379310345,False,False,False,True,False,207 139 131 48602,0
http://60.23.236.83:33147/i,online,60.23,236,83:33147,i,,,False,True,60.23 236 83:33147 i,236 33147,27,1,0,0,3,3,14,2,0,0,0,0,18,2,1,0,0,0,0,0,0,0,3.676390632579627,3.558157328518199,4.25,0.5555555555555556,False,False,False,True,False,236 33147,0
http://120.56.6.209:45676/bin.sh,online,120.56,6,209:45676,bin.sh,,,False,True,120.56 6 209:45676 bin.sh,120 209 45676 bin,32,6,0,0,4,3,14,2,0,0,0,0,18,2,1,0,0,0,0,0,0,0,3.9764097655573916,3.480337797403416,5.5,0.5625,False,False,False,True,False,120 209 45676 bin,0
http://117.194.24.210:33750/i,online,117.194,24,210:33750,i,,,False,True,117.194 24 210:33750 i,117 194 210 33750,29,1,0,0,3,3,16,2,0,0,0,0,20,2,1,0,0,0,0,0,0,0,3.771437029461126,3.278325502193724,4.75,0.5172413793103449,False,False,False,True,False,117 194 210 33750,0
http://60.23.238.137:52499/bin.sh,offline,60.23,238,137:52499,bin.sh,,,False,True,60.23 238 137:52499 bin.sh,238 137 52499 bin,33,6,0,0,4,3,15,2,0,0,0,0,19,2,1,0,0,0,0,0,0,0,4.12728313431329,3.4300365325772657,5.75,0.6060606060606061,False,False,False,True,False,238 137 52499 bin,1
http://117.215.53.96:54361/bin.sh,online,117.215,53,96:54361,bin.sh,,,False,True,117.215 53 96:54361 bin.sh,117 215 54361 bin,33,6,0,0,4,3,15,2,0,0,0,0,19,2,1,0,0,0,0,0,0,0,3.9683403313485464,3.6525182662886326,5.75,0.5454545454545454,False,False,False,True,False,117 215 54361 bin,0
http://61.52.95.188:49125/bin.sh,online,61.52,95,188:49125,bin.sh,,,False,True,61.52 95 188:49125 bin.sh,188 49125 bin,32,6,0,0,4,3,14,2,0,0,0,0,18,2,1,0,0,0,0,0,0,0,3.9292292966721747,3.702819531114783,5.5,0.53125,False,False,False,True,False,188 49125 bin,0
http://39.90.150.114:53393/i,online,39.90,150,114:53393,i,,,False,True,39.90 150 114:53393 i,150 114 53393,28,1,0,0,3,3,15,2,0,0,0,0,19,2,1,0,0,0,0,0,0,0,3.556656707462823,3.6525182662886326,4.5,0.4642857142857143,False,False,False,True,False,150 114 53393,0
